"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","cashAndCashEquivalents","shortTermInvestments","cashAndShortTermInvestments","netReceivables","accountsReceivables","otherReceivables","inventory","prepaids","otherCurrentAssets","totalCurrentAssets","propertyPlantEquipmentNet","goodwill","intangibleAssets","goodwillAndIntangibleAssets","longTermInvestments","taxAssets","otherNonCurrentAssets","totalNonCurrentAssets","otherAssets","totalAssets","totalPayables","accountPayables","otherPayables","accruedExpenses","shortTermDebt","capitalLeaseObligationsCurrent","taxPayables","deferredRevenue","otherCurrentLiabilities","totalCurrentLiabilities","longTermDebt","capitalLeaseObligationsNonCurrent","deferredRevenueNonCurrent","deferredTaxLiabilitiesNonCurrent","otherNonCurrentLiabilities","totalNonCurrentLiabilities","otherLiabilities","capitalLeaseObligations","totalLiabilities","treasuryStock","preferredStock","commonStock","retainedEarnings","additionalPaidInCapital","accumulatedOtherComprehensiveIncomeLoss","otherTotalStockholdersEquity","totalStockholdersEquity","totalEquity","minorityInterest","totalLiabilitiesAndTotalEquity","totalInvestments","totalDebt","netDebt"
"2025-10-31","0A1O.L","USD","0001585521","2025-11-25","2025-11-25 16:02:47","2026","Q3",1215877000,6727428000,7943305000,417693000,417693000,0,0,0,353969000,8714967000,325721000,307295000,0,307295000,1052604000,746400000,243824000,2675844000,0,11390811000,12843000,12843000,0,514778000,0,0,0,1431802000,0,1959423000,0,28072000,12682000,0,103794000,144548000,0,28072000,2103971000,0,0,296000,5025586000,4250595000,10363000,0,9286840000,9286840000,0,11390811000,7780032000,28072000,-1187805000
"2025-10-31","0A23.L","USD","0001412408","2025-11-12","2025-11-12 17:18:52","2026","Q3",106371000,0,106371000,88257000,0,0,0,0,46278000,240906000,22677000,75845000,25532000,101377000,0,1640000,56872000,182566000,0,423472000,0,6218000,0,0,0,0,0,29712000,69071000,98783000,3485000,0,0,683000,192000,4360000,0,0,103143000,0,0,616000,-800485000,0,-360000,1120558000,320329000,320329000,0,423472000,0,3485000,-102886000
"2025-10-31","0HJF.L","USD","0000769397","2025-11-26","2025-11-26 16:03:09","2026","Q3",1989000000,300000000,2289000000,806000000,806000000,0,0,0,800000000,3895000000,152000000,4278000000,493000000,4771000000,302000000,936000000,1142000000,7303000000,0,11198000000,482000000,384000000,98000000,177000000,0,57000000,98000000,3577000000,442000000,4735000000,2482000000,195000000,269000000,27000000,597000000,3570000000,0,252000000,8305000000,0,0,4588000000,-1432000000,0,-263000000,0,2893000000,2893000000,0,11198000000,602000000,2734000000,745000000
"2025-10-31","0HP1.L","USD","0001372612","2025-10-31","2025-10-30 20:00:00","2026","Q3",634818000,96482000,731300000,204928000,204928000,0,0,0,87643000,1023871000,90963000,81297000,91616000,172913000,0,229822000,91681000,585379000,0,1609250000,79383000,79383000,0,34899000,204762000,0,0,533927000,0,852971000,450415000,72416000,0,0,24284000,547115000,0,72416000,1400086000,0,495813000,14000,-928439000,642241000,-465000,0,209164000,209164000,0,1609250000,96482000,727593000,92775000
"2025-11-30","0HTQ.L","USD","0001170010","2025-12-23","2025-12-23 10:02:45","2026","Q3",204938000,0,204938000,151102000,151102000,0,3127948000,0,714217000,4198205000,4498543000,141258000,0,141258000,16151162000,73451000,499736000,21364150000,0,25562355000,891575000,887496000,4078999,0,796645000,0,4079000,0,418021000,2106241000,15879397000,0,0,0,1512183000,17391580000,0,0,19497821000,0,0,71531000,4196141000,1824142000,-27280000,0,6064534000,6064534000,0,25562355000,16151162000,16676042000,16471104000
"2025-10-31","0KB7.L","USD","0001660134","2025-12-03","2025-12-02 18:08:06","2026","Q3",645000000,1818000000,2463000000,463000000,463000000,0,0,0,120000000,3046000000,104000000,5487000000,106000000,5593000000,0,0,486000000,6183000000,0,9229000000,13000000,13000000,0,173000000,350000000,0,0,1557000000,91000000,2184000000,0,73000000,29000000,0,50000000,152000000,0,73000000,2336000000,0,0,0,-2630000000,9519000000,4000000,0,6893000000,6893000000,0,9229000000,1818000000,423000000,-222000000
"2025-10-31","0KKZ.L","USD","0001441816","2025-12-02","2025-12-02 16:19:32","2026","Q3",834092000,1471669000,2305761000,416494000,416494000,0,0,0,210059000,2932314000,71618000,189641000,38308000,227949000,0,23012000,311756000,634335000,0,3566649000,14811000,14811000,0,131759999,9145000,0,0,300873000,101444000,558033000,0,25480000,66173000,560000,27964000,120177000,0,25480000,678210000,-346654000,0,81000,-1927385000,5152122000,10275000,0,2888439000,2888439000,0,3566649000,1471669000,34625000,-799467000
"2025-11-02","0KSA.L","USD","0001474432","2025-12-10","2025-12-10 16:43:56","2026","Q3",852838000,678775000,1531613000,620959000,620959000,0,82421000,0,307891000,2542884000,760745000,364742000,9406999,374149000,19151000,0,521482000,1675527000,0,4218411000,128021999,128021999,0,244939000,43599000,0,0,1028636000,159827000,1605023000,0,181948000,931768000,0,96783000,1210499000,0,181948000,2815522000,0,0,2681966000,-1281083000,0,2005999,0,1402889000,1402889000,0,4218411000,697926000,225547000,-627291000
"2025-11-01","0LCE.L","USD","0000109198","2025-12-02","2025-12-02 11:19:44","2026","Q3",4640000000,0,4640000000,705000000,600000000,105000000,9353000000,0,616000000,15314000000,17965000000,95000000,0,95000000,0,0,1814000000,19874000000,0,35188000000,5937000000,5357000000,580000000,4776000000,2708000000,0,165000000,0,580000000,14001000000,1870000000,8616000000,0,239000000,1103000000,11828000000,0,8616000000,25829000000,0,0,1110000000,8720000000,0,-471000000,0,9359000000,9359000000,0,35188000000,0,13194000000,8554000000
"2025-10-31","0LO3.L","USD","0001393052","2025-11-21","2025-11-21 16:07:12","2026","Q3",1660137000,4977164000,6637301000,371776000,371776000,0,0,0,102777000,7111854000,139956000,439877000,32650000,472527000,0,286966000,85848000,985297000,0,8097151000,38691000,32671000,6020000,41485000,10529000,0,6020000,822466000,31707000,944878000,0,79267000,0,367000,32007999,111641999,0,79267000,1056520000,0,0,2000,4119297000,2911418000,9914000,0,7040631000,7040631000,0,8097151000,4977164000,89796000,-1570341000
"2025-10-31","0M18.L","USD","0001327811","2025-11-26","2025-11-26 16:03:42","2026","Q3",2609000000,4234000000,6843000000,1750000000,1750000000,0,0,0,582000000,9175000000,1853000000,4263000000,549000000,4812000000,305000000,905000000,701000000,8576000000,0,17751000000,103000000,103000000,0,0,117000000,0,0,3871000000,926000000,5017000000,2986000000,690000000,70000000,0,109000000,3855000000,0,690000000,8872000000,-2706000000,0,0,-657000000,12311000000,-69000000,0,8879000000,8879000000,0,17751000000,4539000000,3793000000,1184000000
