"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-10-31","0A1O.L","USD","0001585521","2025-11-24","2025-11-24 16:06:08","2026","Q3",1229835000,271770000,958065000,210097000,94740000,342814000,437554000,0,647651000,919421000,0,0,0,32391000,342805000,310414000,0,310414000,484295000,794709000,181836000,612873000,0,0,612873000,0,612873000,2.03,2,301807298,308702227
"2025-10-31","0A23.L","USD","0001412408","2025-11-12","2025-11-12 17:18:52","2026","Q3",120333000,38027000,82306000,29453000,17488000,24148000,41636000,7478000,78567000,116594000,378000,1204000,826000,7478000,12923000,5445000,-1706000,3739000,1386000,5125000,854000,4271000,0,0,4271000,0,4271000,0.0754,0.0758,59513478,61491761
"2025-10-31","0HJF.L","USD","0000769397","2025-11-26","2025-11-26 16:03:09","2026","Q3",1853000000,140000000,1713000000,416000000,172000000,612000000,784000000,38000000,1238000000,1378000000,-2000000,0,2000000,0,470000000,470000000,5000000,475000000,-7000000,468000000,125000000,343000000,0,0,343000000,0,343000000,1.61,1.6,213000000,215000000
"2025-10-31","0HP1.L","USD","0001372612","2025-10-31","2025-10-30 20:00:00","2026","Q3",301107000,61575000,239532000,73947000,0,0,140522000,0,214469000,276044000,3535000,6218000,2683000,8983000,39069000,30086000,-5023000,25063000,2340000,27403000,15338000,12065000,0,0,12065000,0,6895000,0.0478,0.0461,144383000,149447000
"2025-11-30","0HTQ.L","USD","0001170010","2025-12-23","2025-12-23 10:02:45","2026","Q3",5793946000,5272841000,521105000,0,0,0,581368000,84962000,666330000,5939171000,233600000,448000000,214400000,68943000,367250000,298307000,-443532000,-145225000,229112000,83887000,21672000,62215000,0,0,62215000,0,62215000,0.43,0.43,149004000,149382000
"2025-10-31","0KB7.L","USD","0001660134","2025-12-03","2025-12-02 18:08:06","2026","Q3",742000000,170000000,572000000,160000000,118000000,271000000,389000000,0,549000000,719000000,27000000,28000000,1000000,24000000,75000000,51000000,-28000000,23000000,27000000,50000000,7000000,43000000,0,0,43000000,0,43000000,0.24,0.24,175399000,179393000
"2025-10-31","0KKZ.L","USD","0001441816","2025-12-02","2025-12-02 16:19:32","2026","Q3",628309000,179177000,449132000,176610000,60082000,230864000,290946000,0,467556000,646479000,44556000,47095000,2539000,9562000,10912000,1350000,-19520000,-18170000,19520000,1350000,3357000,-2007000,0,0,-2007000,0,-2007000,-0.0247,-0.0247,81245331,81245331
"2025-11-02","0KSA.L","USD","0001474432","2025-12-10","2025-12-10 16:43:56","2026","Q3",964453000,267076000,697377000,200086000,67319000,255830000,323149000,120224000,643459000,910535000,15508000,15774000,266000,37785000,103493000,65708000,-11790000,53918000,11790000,65708000,10902000,54806000,0,0,54806000,0,54806000,0.19,0.19,327675000,340564000
"2025-11-01","0LCE.L","USD","0000109198","2025-12-02","2025-12-02 11:19:44","2026","Q3",15117000000,10134000000,4983000000,0,0,0,3039000000,-28000000,3011000000,13145000000,-28000000,0,28000000,316000000,2260000000,1944000000,28000000,1972000000,-56000000,1916000000,474000000,1442000000,0,0,1442000000,0,1442000000,1.28,1.28,1126000000,1126000000
"2025-10-31","0LO3.L","USD","0001393052","2025-11-21","2025-11-21 16:07:12","2026","Q3",811236000,199465000,611771000,191883000,68483000,110552000,179035000,0,370918000,570383000,0,0,0,19948000,260801000,240853000,0,240853000,71933000,312786000,76583000,236203000,0,0,236203000,0,236203000,1.44,1.4,163676000,167953000
